Feature1,Feature2,Feature3,Feature4,Feature5,Date,Bank_Name,Class,Age,Age_Group,Transaction_ID,Amount,Status
597.6131909,809.4274885,800.1526484,932.1290998,770.2287656,31-01-2022,Bank B,0,60,55-64,WMZ56EPDVMYPAKGN,106,Success
747.700514,234.102665,59.92515532,517.5994651,124.4342079,30-12-2022,Bank E,0,44,35-44,A0RKSHBARENHK12Z,28,Success
962.1958763,289.9247626,852.9442034,387.6246252,323.1942499,10-05-2021,Bank D,0,68,65+,GDK1AXU84DSRUREI,89,Failed
935.1585724,363.3225721,390.2879087,106.0917796,670.4466653,18-07-2022,Bank A,0,57,55-64,VLELTSM2LMF7DL0X,876,Success
288.8394145,585.6041678,591.3517041,719.1996956,745.2414862,04-02-2022,Bank E,0,27,25-34,QSW9UPGCICXV4KPS,328,Pending
514.4524344,330.9919476,837.4508948,309.8656494,507.5090945,31-12-2021,Bank B,0,61,55-64,BOHOZUIL62UOXTLO,196,Pending
401.2525832,855.078386,431.9185311,386.0991888,689.8236929,21-09-2023,Bank D,0,45,45-54,8HZ5NTGD00RMXNAW,135,Failed
602.4411099,107.2468335,508.1688063,735.4783883,992.0747646,10-11-2021,Bank E,0,38,35-44,QTJJCQDPA86U2US6,380,Pending
629.146834,370.2930664,226.1515998,872.8302342,814.5652121,27-06-2023,Bank D,1,69,65+,ZWHWN6R16DVL2PXA,279,Success
233.9228208,200.6320901,715.1367768,314.9520619,306.3987984,02-05-2019,Bank D,0,28,25-34,AC96YKIP548AL7L6,666,Pending
152.2902471,263.9755197,427.5075576,732.8383373,336.3080944,11-04-2020,Bank B,0,37,35-44,4ONFL956O5GAPPTO,465,Success
328.6043395,284.9132526,478.2836675,180.6366979,485.630734,23-05-2022,Bank C,0,70,65+,AXVF2VSD9LSTN4GN,564,Pending
704.1755562,29.79050403,9.779380306,75.12291015,535.6600617,27-11-2019,Bank E,1,77,65+,HJKJY776XIIHIZ5Y,514,Failed
854.4550832,4.88446602,936.6613046,106.2785116,841.9835281,22-01-2023,Bank B,0,53,45-54,TOMXMXVRITP9E70T,184,Failed
482.854765,659.3573873,510.6829844,477.0482252,834.8994284,29-03-2019,Bank D,0,36,35-44,VNWCBOCAJHM4IIE6,507,Failed
755.8863796,483.4022365,111.6359294,115.4029593,801.5394607,28-10-2022,Bank B,0,69,65+,8O1YQ3SH9FEKZTG6,993,Pending
529.3906213,481.5891402,680.5668414,858.8415834,628.8731444,28-01-2022,Bank C,0,27,25-34,1RW5502RM9GAKHRC,994,Success
762.8479023,765.2705241,356.2614488,274.0831956,801.1640672,21-05-2021,Bank E,0,32,25-34,U8PUVLTWB2TE3XXD,250,Success
377.1787918,903.3360065,69.69069673,58.21751208,927.0041601,15-08-2023,Bank C,0,62,55-64,XYS5MJ819E2RDOKC,212,Failed
648.4549142,379.5993564,755.0604148,672.32681,531.2010468,11-05-2019,Bank A,0,62,55-64,A75UFKTWUFWGDHD0,985,Pending
98.87334266,812.1795873,866.0231907,172.1686886,850.511652,13-08-2023,Bank E,0,70,65+,XEGN0K14VBU11BR0,383,Pending
877.847311,549.4286123,656.1790362,382.23732,281.7916475,25-08-2022,Bank C,0,77,65+,K5CT5O40VFJ3CMXJ,775,Pending
721.983147,861.875149,654.077553,511.5906106,158.9247668,08-02-2021,Bank D,0,35,35-44,HIIAJLMV25NKEUAE,670,Failed
53.4587126,445.6917902,49.3495637,569.3346319,382.7291913,10-12-2019,Bank E,1,24,18-24,AR1S1WZEWR4GLRN9,248,Pending
757.1891197,305.6484968,592.982701,537.6835218,4.712425522,24-02-2023,Bank E,0,47,45-54,MIMWP3YYAK47A4YM,250,Pending
72.38939826,290.3682125,882.235081,147.0149549,710.8943305,08-12-2022,Bank B,0,31,25-34,AF2VZP1DIYPU07F7,796,Success
973.3665662,790.5675527,242.9453617,908.3652604,93.10715651,16-03-2021,Bank D,0,54,45-54,LB65KQBE171O22HE,201,Failed
468.1419419,887.5419077,641.2657093,413.6445647,292.8128667,21-01-2020,Bank A,0,58,55-64,8L89RHBG8POUK7KL,459,Failed
375.0994053,508.941781,319.0439299,968.9678621,933.0776531,30-04-2022,Bank C,0,47,45-54,P1OIE6W1PMZ2JQV2,772,Success
870.6714682,421.8298355,691.3017693,902.829307,850.4294877,13-08-2021,Bank B,0,71,65+,422EV0JFN2S2Q3HD,768,Pending
414.327014,112.3860493,75.63036383,577.0640452,642.6279352,04-10-2019,Bank C,0,44,35-44,15Q0LH1DM12A5CMJ,331,Pending
849.8426046,292.5150203,167.4704906,379.0058332,353.5751236,30-03-2022,Bank A,1,66,65+,6XIG3ZIIRKRDYTCQ,531,Failed
132.468954,672.2826525,508.6919407,721.1227561,352.6911202,04-04-2020,Bank A,0,74,65+,4AZL84MAL1BOK86V,964,Failed
325.7022116,472.575853,877.4073454,40.28130673,804.8328173,30-08-2022,Bank E,0,54,45-54,VT928J76MUS2TCLR,130,Pending
368.9876127,854.6190258,802.2030088,348.7612474,693.8765353,22-01-2019,Bank A,0,65,65+,JFQINJI4N83AEE24,774,Failed
159.6327568,896.2815522,404.4910645,455.6256154,705.759051,10-09-2019,Bank C,0,58,55-64,P86X8CDYSP7P000Z,835,Success
820.8402367,236.3427433,661.3501399,391.9980439,368.702924,17-01-2021,Bank D,0,34,25-34,7AFZ6PA0J5L3IN8K,80,Success
690.0258239,387.1832742,346.1085002,835.8884081,101.2761238,06-05-2021,Bank D,0,47,45-54,EE93A5HNRP1DL5R8,575,Failed
675.8926228,248.7253938,15.49824183,166.7642689,606.6615298,04-05-2023,Bank E,0,35,35-44,SD7FXPHDYXMFZ21W,50,Pending
709.1271915,21.05778356,36.4254433,902.5421148,73.30581811,19-04-2020,Bank C,0,20,18-24,5VDZSK7SUUPT8J23,895,Failed
894.1821586,228.1659138,740.0178002,309.7332489,858.7520256,18-12-2021,Bank C,0,45,45-54,5HMY3VTTS3DPMCVP,418,Success
700.4548654,401.8134586,76.30245417,732.7001839,616.884756,25-05-2020,Bank A,0,54,45-54,XFAG1ZKVM1SF6ZMS,984,Failed
2.911717834,9.419855972,808.7929732,259.3997388,636.1336677,02-09-2023,Bank C,0,47,45-54,995PO6V1IO9SUPN2,640,Pending
454.2144198,863.4300145,916.9611131,996.8077127,153.6841358,08-02-2023,Bank B,0,71,65+,D2BWCMSEU8B7QGPM,973,Success
862.9640465,266.0213767,590.8158749,505.7728339,17.98813157,30-11-2020,Bank A,0,38,35-44,2BG2QJ4HLIZ46A5Z,696,Pending
932.7712799,78.32705515,688.2189194,785.0068362,795.287849,02-09-2021,Bank B,0,66,65+,2VNBP1O0N8JS1V00,762,Pending
135.4945189,447.5699505,829.4288704,302.6792104,467.7486754,12-12-2023,Bank E,0,37,35-44,S4GCB86N0LK4TAQ6,956,Pending
272.7938927,463.5514179,887.8379226,455.124231,555.9120171,09-07-2019,Bank D,0,39,35-44,VM8BQ6TFVKAXABBI,953,Pending
403.9762833,460.1171832,15.17419905,283.74551,436.5817217,15-08-2021,Bank E,0,53,45-54,HZ6LMPZM8FJSUNGO,758,Pending
633.796976,450.0519306,337.8170433,388.0987353,242.2933292,17-11-2020,Bank D,0,53,45-54,MZNX5LS7H7SRZUE7,787,Success
924.4942828,521.7432258,13.40945387,19.44625842,972.961635,15-08-2021,Bank E,0,38,35-44,G3YWELK3NFWL7MU3,694,Failed
221.4508914,805.6082888,58.27530156,921.1627367,874.4170037,16-07-2020,Bank C,0,41,35-44,TUSFDY7K6NVPNCFE,741,Failed
571.0931624,8.998657283,257.810874,406.8226474,460.0641167,10-05-2023,Bank B,0,38,35-44,I97W4LATR8CHWOP2,990,Success
297.6787586,32.94786825,590.1274059,524.1546677,283.0006354,21-06-2022,Bank D,0,24,18-24,UPUTBX84YF6JBABP,193,Pending
37.97596757,994.5941872,481.9861868,756.0042418,452.3140351,11-04-2021,Bank A,0,25,25-34,0EKQT45ESXEWUU84,626,Pending
43.17029086,309.6007451,320.110141,838.352904,654.229978,09-03-2023,Bank B,0,39,35-44,M8S0EKZQGE4NQ9IJ,677,Failed
275.4299036,967.7399547,321.5418324,998.2340258,996.1636932,28-02-2022,Bank A,0,39,35-44,HPD1BQR1AMSLGMAI,552,Pending
191.2105177,312.7411162,486.0441985,664.1006711,528.047449,17-02-2023,Bank B,0,47,45-54,LMWTWJL2DJ9N3R25,448,Pending
969.4414691,723.9891642,212.0448494,105.0975502,688.4012907,08-10-2020,Bank B,0,51,45-54,Z20OO9MS8DSSXV24,538,Pending
158.4524402,787.6768403,311.0366673,326.8932631,10.79839239,21-01-2019,Bank E,1,46,45-54,XBU4HDFOKVTZS5T7,876,Failed
701.0112671,113.2697531,772.8805775,491.8678219,784.279815,20-04-2021,Bank D,0,78,65+,1RFD8H4TZB97GGAT,55,Failed
583.9265392,82.43327202,765.6523367,69.79948489,478.7017206,16-06-2019,Bank D,0,27,25-34,5MSACU4XD71MZHM4,99,Pending
172.3492141,752.335178,911.5912278,554.1261634,527.1472943,21-07-2022,Bank B,0,22,18-24,7SG7LCI8CI8EKAU8,902,Pending
763.9631963,5.078812976,917.7586426,197.4488171,984.1188838,23-01-2020,Bank C,0,66,65+,4N5P8ID56DK0WTO9,575,Success
736.253948,774.2511477,656.2029804,471.6631828,571.6276934,23-08-2020,Bank C,0,74,65+,W6R9KKN1ZBHHVR3U,427,Success
46.40288602,623.9595094,626.098102,891.2007974,505.6563574,12-11-2019,Bank A,0,56,55-64,I9CXU5B9LTETR2RO,975,Success
77.14437409,306.1959205,655.6294121,239.2588628,280.5278219,14-01-2019,Bank A,0,51,45-54,SFL9EDQBL4COP7S8,780,Failed
820.4690164,584.3197318,508.5274318,318.4519668,730.9280359,30-08-2019,Bank E,0,55,55-64,Y2U55U7S2G7XUBJB,488,Success
287.7184345,737.0635176,70.10148027,864.5413416,499.5664634,15-02-2021,Bank B,0,27,25-34,01C4S2336P0NJTRB,815,Pending
438.5080167,611.0234115,624.1920729,132.0351769,756.2335898,01-10-2022,Bank A,0,26,25-34,CJ60LV7UJZVMUUNX,590,Failed
275.928298,904.9618802,817.8506634,346.2660415,807.7392932,18-07-2020,Bank A,0,77,65+,4INPH80VCPPCU8FK,263,Failed
356.3904993,100.9476816,961.8882387,652.6020152,456.0995267,16-06-2021,Bank B,0,49,45-54,VJVV8VKPXJ8N5I21,657,Failed
397.7733515,324.7053343,981.4475954,134.7472651,314.8050589,25-09-2022,Bank E,0,22,18-24,G8EVAYNP736NNIXJ,341,Pending
485.4976403,477.9995451,471.3664844,175.7838158,144.9325271,02-04-2019,Bank A,0,52,45-54,CH56UL1NRCJSY3HS,566,Failed
254.7675863,914.5261538,113.0529678,757.4251034,757.5483931,22-10-2022,Bank E,0,28,25-34,4Y3CD2LDEFK5CXZT,349,Pending
809.7704039,886.615489,263.0361775,224.5594693,465.5056665,13-08-2021,Bank D,0,59,55-64,HQJJ6SLDZHO6SLPW,401,Success
265.0891688,734.309989,635.9395767,874.9876881,82.73830349,18-01-2023,Bank E,0,33,25-34,LTQ07NBOIBCM3PTQ,479,Success
